iter	Passed	Remaining
274	685	1806
275	686	1800
276	687	1794
277	688	1788
278	689	1781
279	690	1775
280	694	1775
281	695	1769
282	696	1763
283	696	1757
284	697	1750
285	698	1744
286	699	1738
287	700	1732
288	701	1726
289	702	1720
290	703	1714
291	704	1708
292	705	1702
293	708	1700
294	710	1698
295	711	1692
296	712	1686
297	713	1681
298	714	1675
299	715	1669
300	716	1664
301	717	1658
302	718	1653
303	719	1647
304	720	1642
305	724	1643
306	728	1644
307	729	1639
308	730	1634
309	732	1629
310	733	1624
311	734	1619
312	735	1614
313	739	1616
314	741	1612
315	742	1607
316	744	1603
317	745	1599
318	746	1594
319	747	1589
320	748	1584
321	749	1579
322	750	1574
323	755	1575
324	756	1571
325	757	1566
326	758	1561
327	759	1556
328	760	1551
329	761	1546
330	762	1541
331	763	1536
332	764	1532
333	767	1530
334	771	1530
335	774	1531
336	776	1526
337	777	1522
338	778	1517
339	779	1512
340	780	1507
341	783	1508
342	785	1503
343	786	1498
344	787	1494
345	788	1489
346	789	1484
347	790	1480
348	791	1475
349	791	1470
350	792	1466
351	793	1461
352	794	1457
353	796	1452
354	800	1454
355	801	1449
356	802	1445
357	803	1440
358	804	1435
359	805	1431
360	806	1427
361	807	1422
362	808	1418
363	809	1413
364	810	1409
365	811	1405
366	813	1402
367	816	1401
368	818	1399
369	819	1394
370	820	1390
371	821	1386
372	822	1382
373	823	1378
374	824	1373
375	825	1369
376	828	1369
377	829	1365
378	830	1361
379	831	1357
380	832	1352
381	833	1348
382	834	1344
383	835	1340
384	836	1336
385	837	1332
386	838	1328
387	839	1324
388	840	1320
389	843	1319
390	845	1316
391	846	1313
392	848	1309
393	849	1306
394	850	1303
395	852	1300
396	853	1296
397	854	1292
398	857	1291
399	862	1293
400	865	1292
401	866	1289
402	867	1285
403	868	1281
404	870	1278
405	873	1277
406	875	1276
407	877	1272
408	878	1269
409	879	1265
410	880	1261
411	881	1257
412	882	1254
413	883	1250
414	887	1250
415	888	1247
416	889	1243
417	890	1239
418	891	1236
419	892	1232
420	893	1228
421	894	1225
422	895	1221
423	896	1218
424	897	1214
425	901	1214
426	905	1214
427	906	1212
428	908	1208
429	909	1205
430	910	1201
431	911	1198
432	912	1194
433	913	1191
434	917	1191
435	918	1188
436	919	1185
437	920	1181
438	921	1178
439	922	1174
440	923	1171
441	925	1167
442	926	1164
443	927	1160
444	928	1157
445	932	1158
446	934	1156
447	935	1152
448	936	1149
449	937	1146
450	939	1143
451	940	1139
452	941	1136
453	942	1132
454	943	1129
455	944	1126
456	947	1125
457	950	1124
458	952	1122
459	954	1120
460	955	1116
461	956	1113
462	957	1110
463	958	1107
464	960	1105
465	964	1105
466	966	1103
467	968	1100
468	969	1097
469	970	1093
470	971	1090
471	972	1087
472	973	1084
473	973	1080
474	976	1079
475	978	1076
476	979	1073
477	980	1070
478	981	1067
479	982	1064
480	983	1061
481	984	1058
482	985	1054
483	986	1051
484	987	1048
485	988	1045
486	991	1044
487	995	1044
488	997	1042
489	998	1039
490	999	1036
491	1000	1033
492	1001	1030
493	1002	1027
494	1006	1026
495	1007	1023
496	1008	1020
497	1009	1017
498	1010	1014
499	1011	1011
500	1012	1008
501	1013	1005
502	1014	1002
503	1015	999
504	1017	996
505	1018	994
506	1022	994
507	1024	991
508	1025	989
509	1026	986
510	1028	984
511	1029	981
512	1030	978
513	1031	975
514	1032	972
515	1033	969
516	1036	968
517	1039	967
518	1042	966
519	1044	963
520	1045	960
521	1046	958
522	1047	955
523	1051	955
524	1054	954
525	1056	952
526	1057	949
527	1058	946
528	1060	943
529	1061	941
530	1062	938
531	1065	937
532	1067	935
533	1068	932
534	1069	929
535	1070	926
536	1071	923
537	1072	920
538	1073	917
539	1074	915
540	1075	912
541	1076	909
542	1077	906
543	1079	904
544	1081	902
545	1084	901
546	1086	899
547	1087	897
548	1088	894
549	1089	891
550	1090	888
551	1091	885
552	1092	883
553	1095	882
554	1096	879
555	1097	876
556	1098	873
557	1099	871
558	1100	868
559	1101	865
560	1102	862
561	1103	859
562	1104	857
563	1105	854
564	1106	852
565	1109	850
566	1111	848
567	1113	846
568	1114	844
569	1115	841
570	1117	839
571	1118	836
572	1119	834
573	1120	831
574	1121	828
575	1123	827
576	1126	826
577	1130	825
578	1132	823
579	1133	820
580	1134	818
581	1135	815
582	1136	812
583	1140	812
584	1144	811
585	1145	809
586	1146	806
587	1148	804
588	1149	801
589	1150	799
590	1151	796
591	1156	796
592	1157	794
593	1158	791
594	1159	789
595	1160	786
596	1161	784
597	1163	781
598	1164	779
599	1165	776
600	1166	774
601	1167	771
602	1170	770
603	1172	768
604	1175	767
605	1176	764
606	1177	762
607	1178	760
608	1179	757
609	1180	755
610	1182	752
611	1185	751
612	1186	749
613	1187	746
614	1188	744
615	1189	741
616	1191	739
617	1192	736
618	1193	734
619	1194	731
620	1195	729
621	1196	726
622	1197	724
623	1201	724
624	1202	721
625	1204	719
626	1205	716
627	1206	714
628	1207	711
629	1208	709
630	1209	707
631	1210	704
632	1211	702
633	1211	699
634	1214	698
635	1218	697
636	1220	695
637	1222	693
638	1223	691
639	1225	689
640	1226	686
641	1229	685
642	1232	684
643	1234	682
644	1235	679
645	1236	677
646	1237	674
647	1238	672
648	1239	670
649	1240	667
650	1241	665
651	1247	665
652	1251	665
653	1253	663
654	1255	661
655	1256	658
656	1257	656
657	1263	656
658	1266	655
659	1267	652
660	1268	650
661	1269	648
662	1270	645
663	1271	643
664	1274	642
665	1277	640
666	1278	638
667	1279	636
668	1280	633
669	1282	631
670	1283	629
671	1284	626
672	1286	625
673	1290	624
674	1292	622
675	1294	620
676	1296	618
677	1297	616
678	1298	614
679	1300	611
680	1304	611
681	1308	609
682	1313	609
683	1314	607
684	1316	605
685	1317	603
686	1328	605
687	1329	603
688	1331	601
689	1333	598
690	1345	601
691	1349	600
692	1357	601
693	1362	600
694	1363	598
695	1364	596
696	1368	595
697	1374	594
698	1377	593
699	1378	590
700	1379	588
701	1386	588
702	1387	586
703	1388	583
704	1389	581
705	1391	579
706	1392	577
707	1394	575
708	1395	572
709	1400	571
710	1403	570
711	1405	568
712	1406	566
713	1407	563
714	1408	561
715	1409	558
716	1413	558
717	1415	555
718	1416	553
719	1417	551
720	1418	548
721	1419	546
722	1420	544
723	1421	541
724	1422	539
725	1423	537
726	1424	535
727	1430	534
728	1431	532
729	1432	529
730	1433	527
731	1434	525
732	1435	523
733	1437	520
734	1438	518
735	1439	516
736	1440	513
737	1447	513
738	1449	512
739	1451	509
740	1453	508
741	1455	506
742	1458	504
743	1461	502
744	1462	500
745	1463	498
746	1464	496
747	1465	493
748	1466	491
749	1467	489
750	1469	487
751	1470	484
752	1474	483
753	1476	481
754	1479	480
755	1481	478
756	1482	475
757	1483	473
758	1484	471
759	1486	469
760	1490	468
761	1493	466
762	1494	464
763	1495	462
764	1496	459
765	1498	457
766	1499	455
767	1500	453
768	1501	450
769	1504	449
770	1505	447
771	1506	445
772	1507	442
773	1508	440
774	1509	438
775	1510	436
776	1512	433
777	1513	431
778	1514	429
779	1515	427
780	1516	425
781	1519	423
782	1521	421
783	1522	419
784	1523	417
785	1524	415
786	1525	412
787	1526	410
788	1527	408
789	1528	406
790	1529	404
791	1530	401
792	1535	400
793	1538	399
794	1540	397
795	1541	395
796	1542	392
797	1543	390
798	1544	388
799	1545	386
800	1549	385
801	1551	383
802	1552	380
803	1553	378
804	1554	376
805	1555	374
806	1556	372
807	1558	370
808	1559	368
809	1560	366
810	1563	364
811	1566	362
812	1569	361
813	1571	359
814	1572	356
815	1573	354
816	1574	352
817	1575	350
818	1580	349
819	1582	347
820	1584	345
821	1586	343
822	1587	341
823	1588	339
824	1589	337
825	1590	335
826	1594	333
827	1595	331
828	1597	329
829	1598	327
830	1599	325
831	1600	323
832	1601	320
833	1602	318
834	1603	316
835	1604	314
836	1605	312
837	1606	310
838	1611	309
839	1612	307
840	1613	305
841	1614	303
842	1616	300
843	1617	298
844	1618	296
845	1619	294
846	1620	292
847	1625	291
848	1629	289
849	1631	287
850	1633	286
851	1634	284
852	1636	281
853	1638	280
854	1641	278
855	1642	276
856	1643	274
857	1644	272
858	1645	270
859	1646	268
860	1647	266
861	1648	263
862	1649	261
863	1650	259
864	1653	258
865	1657	256
866	1659	254
867	1661	252
868	1662	250
869	1663	248
870	1664	246
871	1665	244
872	1666	242
873	1671	240
874	1673	239
875	1674	237
876	1676	235
877	1677	233
878	1678	230
879	1679	228
880	1679	226
881	1680	224
882	1684	223
883	1685	221
884	1686	219
885	1687	217
886	1688	215
887	1690	213
888	1691	211
889	1692	209
890	1693	207
891	1694	205
892	1695	203
893	1696	201
894	1699	199
895	1701	197
896	1702	195
897	1703	193
898	1704	191
899	1705	189
900	1706	187
901	1707	185
902	1708	183
903	1709	181
904	1710	179
905	1716	178
906	1720	176
907	1722	174
908	1723	172
909	1725	170
910	1726	168
911	1730	166
912	1732	165
913	1733	163
914	1734	161
915	1735	159
916	1736	157
917	1737	155
918	1738	153
919	1739	151
920	1740	149
921	1744	147
922	1746	145
923	1749	143
924	1750	141
925	1751	140
926	1753	138
927	1754	136
928	1755	134
929	1759	132
930	1762	130
931	1764	128
932	1766	126
933	1767	124
934	1768	122
935	1769	120
936	1770	119
937	1774	117
938	1775	115
939	1776	113
940	1778	111
941	1779	109
942	1780	107
943	1781	105
944	1782	103
945	1783	101
946	1784	99
947	1785	97
948	1786	96
949	1789	94
950	1790	92
951	1791	90
952	1792	88
953	1793	86
954	1794	84
955	1796	82
956	1796	80
957	1798	78
958	1799	76
959	1799	74
960	1801	73
961	1805	71
962	1808	69
963	1809	67
964	1810	65
965	1812	63
966	1813	61
967	1832	60
968	1846	59
969	1852	57
970	1857	55
971	1863	53
972	1868	51
973	1873	50
974	1882	48
975	1884	46
976	1891	44
977	1894	42
978	1896	40
979	1900	38
980	1903	36
981	1906	34
982	1909	33
983	1916	31
984	1920	29
985	1929	27
986	1932	25
987	1934	23
988	1937	21
989	1945	19
990	1946	17
991	1949	15
992	1951	13
993	1956	11
994	1961	9
995	2003	8
996	2011	6
997	2018	4
998	2023	2
999	2026	0
